AIGC: {"Label":"1","ContentProducer":"001191110108MA01KP2T5U00000","ProduceID":"ab8bfbd302ca07821f7bfc76a4733e7a","ReservedCode1":"","ContentPropagator":"001191110108MA01KP2T5U00000","PropagateID":"ab8bfbd302ca07821f7bfc76a4733e7a","ReservedCode2":""}

userId,rating_count,avg_rating
0,49,1.43
1,49,1.55
2,46,2.07
3,48,1.83
4,55,1.56
5,49,1.78
6,57,1.44
7,54,1.63
8,49,1.9
9,53,1.79
10,44,1.52
11,56,2.29
12,55,1.85
13,48,1.52
14,57,1.79
15,48,1.54
16,45,1.78
17,46,1.96
18,52,1.73
19,49,1.47
20,47,1.77
21,48,1.71
22,56,2.16
23,52,2.13
24,52,1.88
25,46,1.59
26,49,2.2
27,46,1.61
28,50,1.82
29,46,1.83
